actual,estimate,period,symbol,year,quarter,beat,f1_pup,f2_vup,f3_bothup,f4_average_price
0.5,0.43,2009-06-30,YUM,2009,2,1,0.49206349206349204,0.42857142857142855,0.25396825396825395,33.286984126984116
0.48,0.39875,2009-03-31,YUM,2009,1,1,0.45901639344262296,0.47540983606557374,0.19672131147540983,28.354262295081963
0.46,0.44533,2008-12-31,YUM,2008,4,1,0.53125,0.5625,0.3125,27.95109375
0.58,0.54,2008-09-30,YUM,2008,3,1,0.515625,0.5,0.265625,36.20171875
0.45,0.41692,2008-06-30,YUM,2008,2,1,0.46875,0.453125,0.203125,38.78968749999999
0.42,0.39636,2008-03-31,YUM,2008,1,1,0.4918032786885246,0.4262295081967213,0.26229508196721313,35.866229508196724
0.44,0.41923,2007-12-31,YUM,2007,4,1,0.453125,0.46875,0.25,37.76921874999998
0.5,0.44667,2007-09-30,YUM,2007,3,1,0.4444444444444444,0.5079365079365079,0.25396825396825395,32.68492063492063
0.39,0.3625,2007-06-30,YUM,2007,2,1,0.5873015873015873,0.4603174603174603,0.23809523809523808,63.12523809523811
0.35,0.31844,2007-03-31,YUM,2007,1,1,0.4918032786885246,0.5245901639344263,0.22950819672131148,58.98327868852459
0.415,0.39382,2006-12-31,YUM,2006,4,1,0.5079365079365079,0.42857142857142855,0.2222222222222222,59.2373015873016
0.415,0.37733,2006-09-30,YUM,2006,3,1,0.49206349206349204,0.47619047619047616,0.23809523809523808,48.95952380952381
0.34,0.31063,2006-06-30,YUM,2006,2,1,0.5555555555555556,0.4603174603174603,0.2698412698412698,50.655396825396835
0.295,0.28563,2006-03-31,YUM,2006,1,1,0.4838709677419355,0.5161290322580645,0.24193548387096775,49.06572258064515
0.385,0.39,2005-12-31,YUM,2005,4,0,0.49206349206349204,0.4603174603174603,0.20634920634920634,49.130952380952365
0.355,0.35066,2005-09-30,YUM,2005,3,1,0.453125,0.46875,0.1875,50.45718750000001
0.31,0.28278000000000003,2005-06-30,YUM,2005,2,1,0.53125,0.4375,0.234375,50.51609375000001
0.265,0.25833,2005-03-31,YUM,2005,1,1,0.5573770491803278,0.4918032786885246,0.3114754098360656,48.15213114754099
0.365,0.36139,2004-12-31,YUM,2004,4,1,0.625,0.546875,0.390625,44.61062499999999
0.305,0.30094,2004-09-30,YUM,2004,3,1,0.546875,0.453125,0.296875,38.76640625
0.275,0.26133,2004-06-30,YUM,2004,2,1,0.46774193548387094,0.41935483870967744,0.1774193548387097,37.67951612903226
0.235,0.22406,2004-03-31,YUM,2004,1,1,0.5161290322580645,0.4838709677419355,0.24193548387096775,35.619677419354836
0.325,0.31206,2003-12-31,YUM,2003,4,1,0.625,0.46875,0.234375,33.47765625
0.27,0.25893,2003-09-30,YUM,2003,3,1,0.5,0.484375,0.25,29.650624999999998
0.24,0.23091,2003-06-30,YUM,2003,2,1,0.5079365079365079,0.4603174603174603,0.31746031746031744,26.413650793650785
0.195,0.1895,2003-03-31,YUM,2003,1,1,0.45901639344262296,0.4918032786885246,0.2459016393442623,23.868032786885244
0.28,0.27542,2002-12-31,YUM,2002,4,1,0.578125,0.390625,0.234375,23.91015625
0.245,0.23786,2002-09-30,YUM,2002,3,1,0.4375,0.515625,0.21875,28.686718750000004
0.225,0.21594,2002-06-30,YUM,2002,2,1,0.5625,0.46875,0.265625,58.42937499999999
0.2,0.19353,2002-03-31,YUM,2002,1,1,0.5166666666666667,0.5166666666666667,0.2833333333333333,55.594
0.41,0.43,2019-12-31,XOM,2019,4,0,0.453125,0.4375,0.125,69.15031250000001
0.67,0.67,2019-09-30,XOM,2019,3,1,0.40625,0.46875,0.15625,72.30828125000001
0.61,0.66,2019-06-30,XOM,2019,2,0,0.4444444444444444,0.5079365079365079,0.23809523809523808,77.41126984126983
0.55,0.7,2019-03-31,XOM,2019,1,0,0.5573770491803278,0.4426229508196721,0.26229508196721313,76.24377049180329
1.41,1.0771700000000002,2018-12-31,XOM,2018,4,1,0.49206349206349204,0.47619047619047616,0.20634920634920634,78.45698412698414
1.46,1.23361,2018-09-30,XOM,2018,3,1,0.42857142857142855,0.42857142857142855,0.19047619047619047,81.75952380952381
0.92,1.26981,2018-06-30,XOM,2018,2,0,0.59375,0.484375,0.25,79.67453125000003
1.09,1.12194,2018-03-31,XOM,2018,1,0,0.4426229508196721,0.5081967213114754,0.19672131147540983,79.93557377049183
0.88,1.03662,2017-12-31,XOM,2017,4,0,0.5396825396825397,0.5555555555555556,0.31746031746031744,82.70738095238096
0.97,0.86059,2017-09-30,XOM,2017,3,1,0.5079365079365079,0.5396825396825397,0.25396825396825395,79.40444444444445
0.78,0.83629,2017-06-30,XOM,2017,2,0,0.4444444444444444,0.5079365079365079,0.19047619047619047,81.81857142857142
0.95,0.8490000000000001,2017-03-31,XOM,2017,1,1,0.4032258064516129,0.5,0.1935483870967742,83.54306451612906
0.9,0.70417,2016-12-31,XOM,2016,4,1,0.5238095238095238,0.4444444444444444,0.23809523809523808,87.38301587301588
0.63,0.58182,2016-09-30,XOM,2016,3,1,0.453125,0.421875,0.203125,88.7203125
0.41,0.64041,2016-06-30,XOM,2016,2,0,0.53125,0.46875,0.234375,88.42046875000003
0.43,0.30857,2016-03-31,XOM,2016,1,1,0.5245901639344263,0.5081967213114754,0.2786885245901639,80.08590163934423
0.67,0.63226,2015-12-31,XOM,2015,4,1,0.546875,0.5,0.328125,79.93781249999999
1.01,0.8857700000000001,2015-09-30,XOM,2015,3,1,0.53125,0.53125,0.296875,77.05187500000002
1.0,1.11133,2015-06-30,XOM,2015,2,0,0.4126984126984127,0.47619047619047616,0.23809523809523808,85.97269841269842
1.17,0.82891,2015-03-31,XOM,2015,1,1,0.39344262295081966,0.39344262295081966,0.09836065573770492,88.67459016393444
1.32,1.34075,2014-12-31,XOM,2014,4,0,0.546875,0.453125,0.21875,93.25312500000003
1.89,1.7131,2014-09-30,XOM,2014,3,1,0.453125,0.5625,0.203125,99.58015624999999
2.05,1.86063,2014-06-30,XOM,2014,2,1,0.5238095238095238,0.5873015873015873,0.30158730158730157,100.87349206349205
2.1,1.87953,2014-03-31,XOM,2014,1,1,0.4262295081967213,0.5081967213114754,0.18032786885245902,95.32114754098362
1.91,1.91639,2013-12-31,XOM,2013,4,0,0.59375,0.453125,0.265625,92.46124999999996
1.79,1.7743799999999998,2013-09-30,XOM,2013,3,1,0.4375,0.484375,0.1875,90.15515624999999
1.55,1.89919,2013-06-30,XOM,2013,2,0,0.5625,0.515625,0.265625,89.98031250000004
2.12,2.04662,2013-03-31,XOM,2013,1,1,0.6,0.48333333333333334,0.26666666666666666,89.36333333333336
2.2,1.99633,2012-12-31,XOM,2012,4,1,0.5483870967741935,0.5483870967741935,0.3225806451612903,89.27670806451614
2.09,1.9535,2012-09-30,XOM,2012,3,1,0.5396825396825397,0.49206349206349204,0.2857142857142857,87.86142857142855
1.8,1.95216,2012-06-30,XOM,2012,2,0,0.5555555555555556,0.49206349206349204,0.23809523809523808,83.1385714285714
2.0,2.0899400000000004,2012-03-31,XOM,2012,1,0,0.5483870967741935,0.5,0.27419354838709675,85.89354838709677
1.97,1.9576,2011-12-31,XOM,2011,4,1,0.5714285714285714,0.47619047619047616,0.25396825396825395,78.96238095238095
2.13,2.119,2011-09-30,XOM,2011,3,1,0.546875,0.53125,0.28125,75.92140624999999
2.18,2.33033,2011-06-30,XOM,2011,2,0,0.5396825396825397,0.4444444444444444,0.2222222222222222,82.46460317460317
2.14,2.07639,2011-03-31,XOM,2011,1,1,0.6129032258064516,0.45161290322580644,0.27419354838709675,81.59048387096772
1.85,1.62539,2010-12-31,XOM,2010,4,1,0.625,0.453125,0.28125,69.07078125000001
1.44,1.39133,2010-09-30,XOM,2010,3,1,0.546875,0.484375,0.28125,60.22218749999998
1.6,1.45824,2010-06-30,XOM,2010,2,1,0.4126984126984127,0.47619047619047616,0.1746031746031746,64.03230158730159
1.37,1.4175,2010-03-31,XOM,2010,1,0,0.47540983606557374,0.5245901639344263,0.3114754098360656,66.69737704918033
1.27,1.18938,2009-12-31,XOM,2009,4,1,0.515625,0.453125,0.21875,71.93406250000001
0.98,1.0325,2009-09-30,XOM,2009,3,0,0.453125,0.515625,0.265625,69.29390625
0.84,1.02933,2009-06-30,XOM,2009,2,0,0.5238095238095238,0.47619047619047616,0.23809523809523808,69.56333333333333
0.92,0.94654,2009-03-31,XOM,2009,1,0,0.5081967213114754,0.47540983606557374,0.29508196721311475,73.07196721311477
1.55,1.44977,2008-12-31,XOM,2008,4,1,0.5,0.4375,0.234375,74.88328124999997
2.59,2.38462,2008-09-30,XOM,2008,3,1,0.453125,0.53125,0.203125,79.77078125
2.27,2.51539,2008-06-30,XOM,2008,2,0,0.484375,0.46875,0.203125,89.73562500000003
2.03,2.14,2008-03-31,XOM,2008,1,0,0.47540983606557374,0.5245901639344263,0.26229508196721313,86.51901639344266
2.13,1.95235,2007-12-31,XOM,2007,4,1,0.515625,0.515625,0.265625,90.56593749999999
1.7,1.75118,2007-09-30,XOM,2007,3,0,0.5396825396825397,0.4126984126984127,0.15873015873015872,87.28285714285713
1.83,1.95778,2007-06-30,XOM,2007,2,0,0.6031746031746031,0.5555555555555556,0.2698412698412698,81.24968253968257
1.62,1.52316,2007-03-31,XOM,2007,1,1,0.4426229508196721,0.5573770491803278,0.22950819672131148,73.36482295081964
1.69,1.50619,2006-12-31,XOM,2006,4,1,0.5714285714285714,0.4444444444444444,0.2857142857142857,72.84301587301589
1.77,1.5855,2006-09-30,XOM,2006,3,1,0.6031746031746031,0.4126984126984127,0.23809523809523808,66.70317460317459
1.72,1.6505,2006-06-30,XOM,2006,2,1,0.5396825396825397,0.5079365079365079,0.25396825396825395,61.277777777777786
1.37,1.465,2006-03-31,XOM,2006,1,0,0.532258064516129,0.46774193548387094,0.24193548387096775,60.502580645161274
1.65,1.4409,2005-12-31,XOM,2005,4,1,0.47619047619047616,0.4444444444444444,0.1746031746031746,57.96904761904761
1.32,1.38406,2005-09-30,XOM,2005,3,0,0.484375,0.484375,0.25,60.50921875
1.23,1.23722,2005-06-30,XOM,2005,2,0,0.5,0.5,0.1875,57.814843750000016
1.15,1.19833,2005-03-31,XOM,2005,1,0,0.6229508196721312,0.4426229508196721,0.3114754098360656,56.540983606557376
1.3,1.0665,2004-12-31,XOM,2004,4,1,0.59375,0.46875,0.296875,49.98703125
0.96,0.8695,2004-09-30,XOM,2004,3,1,0.625,0.484375,0.296875,46.1671875
0.88,0.8785,2004-06-30,XOM,2004,2,1,0.46774193548387094,0.4838709677419355,0.1935483870967742,43.42129032258064
0.83,0.74579,2004-03-31,XOM,2004,1,1,0.46774193548387094,0.5161290322580645,0.20967741935483872,41.4191935483871
0.68,0.58526,2003-12-31,XOM,2003,4,1,0.578125,0.5,0.234375,37.526718749999986
0.55,0.6168399999999999,2003-09-30,XOM,2003,3,0,0.53125,0.484375,0.25,36.54328125000001
0.62,0.55833,2003-06-30,XOM,2003,2,1,0.5238095238095238,0.4444444444444444,0.25396825396825395,35.96904761904762
0.71,0.69111,2003-03-31,XOM,2003,1,1,0.5245901639344263,0.47540983606557374,0.2786885245901639,34.42180327868854
0.56,0.49636,2002-12-31,XOM,2002,4,1,0.4375,0.46875,0.1875,34.68812499999999
14.08,0.42524,2002-09-30,XOM,2002,3,1,0.46875,0.46875,0.1875,35.18703125
0.39,0.45909,2002-06-30,XOM,2002,2,0,0.453125,0.46875,0.21875,40.57390624999999
0.31,0.39546,2002-03-31,XOM,2002,1,0,0.38333333333333336,0.43333333333333335,0.16666666666666666,40.51683333333333
1.16,1.09,2019-12-31,WMT,2019,4,1,0.484375,0.46875,0.203125,119.13390625000001
1.27,1.22,2019-09-30,WMT,2019,3,1,0.453125,0.453125,0.203125,113.22859375
1.13,1.02,2019-06-30,WMT,2019,2,1,0.6190476190476191,0.4126984126984127,0.23809523809523808,103.38873015873016
1.41,1.33,2019-03-31,WMT,2019,1,1,0.5245901639344263,0.4098360655737705,0.2459016393442623,97.27065573770487
1.08,1.01226,2018-12-31,WMT,2018,4,1,0.5555555555555556,0.4444444444444444,0.23809523809523808,96.18190476190478
1.29,1.2174200000000002,2018-09-30,WMT,2018,3,1,0.4444444444444444,0.4126984126984127,0.23809523809523808,91.76015873015871
1.14,1.12203,2018-06-30,WMT,2018,2,1,0.5,0.453125,0.28125,85.28265625
1.33,1.37103,2018-03-31,WMT,2018,1,0,0.4918032786885246,0.5245901639344263,0.2786885245901639,96.49819672131149
1.0,0.9731,2017-12-31,WMT,2017,4,1,0.5555555555555556,0.47619047619047616,0.2857142857142857,91.78904761904757
1.08,1.06669,2017-09-30,WMT,2017,3,1,0.5396825396825397,0.4603174603174603,0.23809523809523808,78.70365079365078
1.0,0.96297,2017-06-30,WMT,2017,2,1,0.5714285714285714,0.47619047619047616,0.2857142857142857,76.1604761904762
1.3,1.28765,2017-03-31,WMT,2017,1,1,0.532258064516129,0.45161290322580644,0.25806451612903225,69.03903225806452
0.98,0.96181,2016-12-31,WMT,2016,4,1,0.5238095238095238,0.42857142857142855,0.15873015873015872,70.0211111111111
1.07,1.02188,2016-09-30,WMT,2016,3,1,0.453125,0.53125,0.28125,72.78296875000004
0.98,0.88221,2016-06-30,WMT,2016,2,1,0.53125,0.4375,0.234375,69.43859375000002
1.49,1.46271,2016-03-31,WMT,2016,1,1,0.639344262295082,0.5081967213114754,0.3442622950819672,65.77655737704919
0.99,0.97612,2015-12-31,WMT,2015,4,1,0.484375,0.453125,0.171875,60.19328125
1.08,1.12365,2015-09-30,WMT,2015,3,0,0.46875,0.53125,0.28125,68.82531249999998
1.03,1.04296,2015-06-30,WMT,2015,2,0,0.3492063492063492,0.5238095238095238,0.20634920634920634,76.49253968253966
1.61,1.53454,2015-03-31,WMT,2015,1,1,0.5245901639344263,0.47540983606557374,0.26229508196721313,85.10721311475415
1.15,1.11854,2014-12-31,WMT,2014,4,1,0.5625,0.484375,0.28125,81.05984375
1.21,1.20779,2014-09-30,WMT,2014,3,1,0.609375,0.484375,0.28125,75.74859374999998
1.1,1.15168,2014-06-30,WMT,2014,2,0,0.49206349206349204,0.5079365079365079,0.23809523809523808,77.06650793650796
1.6,1.58748,2014-03-31,WMT,2014,1,1,0.5081967213114754,0.4426229508196721,0.18032786885245902,75.33721311475409
1.14,1.12769,2013-12-31,WMT,2013,4,1,0.53125,0.5,0.296875,77.47281250000002
1.25,1.252,2013-09-30,WMT,2013,3,0,0.46875,0.53125,0.21875,75.62906250000002
1.14,1.14542,2013-06-30,WMT,2013,2,0,0.5,0.515625,0.21875,76.88578125000001
1.67,1.56864,2013-03-31,WMT,2013,1,1,0.5833333333333334,0.38333333333333336,0.23333333333333334,71.02600000000001
1.08,1.07174,2012-12-31,WMT,2012,4,1,0.45161290322580644,0.4838709677419355,0.22580645161290322,72.07983870967743
1.18,1.17269,2012-09-30,WMT,2012,3,1,0.5873015873015873,0.4603174603174603,0.2222222222222222,73.17492063492062
1.09,1.04261,2012-06-30,WMT,2012,2,1,0.6031746031746031,0.4603174603174603,0.2698412698412698,63.05714285714287
1.44,1.4548,2012-03-31,WMT,2012,1,0,0.6451612903225806,0.532258064516129,0.3064516129032258,60.519435483870964
0.97,0.97792,2011-12-31,WMT,2011,4,0,0.6190476190476191,0.4603174603174603,0.3333333333333333,57.20539682539684
1.12,1.08,2011-09-30,WMT,2011,3,1,0.484375,0.46875,0.1875,52.33578124999999
0.97,0.954,2011-06-30,WMT,2011,2,1,0.5238095238095238,0.4603174603174603,0.23809523809523808,53.91238095238095
1.34,1.31179,2011-03-31,WMT,2011,1,1,0.45161290322580644,0.4838709677419355,0.20967741935483872,53.98645161290323
0.9,0.90044,2010-12-31,WMT,2010,4,0,0.484375,0.46875,0.21875,54.154531250000005
0.97,0.96333,2010-09-30,WMT,2010,3,1,0.578125,0.453125,0.265625,51.32234375
0.88,0.84546,2010-06-30,WMT,2010,2,1,0.4444444444444444,0.42857142857142855,0.15873015873015872,52.464206349206336
1.17,1.1224,2010-03-31,WMT,2010,1,1,0.45901639344262296,0.4918032786885246,0.16393442622950818,54.10311475409837
0.84,0.80875,2009-12-31,WMT,2009,4,1,0.515625,0.5,0.25,52.3590625
0.88,0.85455,2009-09-30,WMT,2009,3,1,0.46875,0.5625,0.25,49.93718750000001
0.77,0.7735,2009-06-30,WMT,2009,2,0,0.4444444444444444,0.42857142857142855,0.15873015873015872,49.973174603174606
1.03,0.98857,2009-03-31,WMT,2009,1,1,0.4918032786885246,0.5409836065573771,0.3114754098360656,49.900819672131135
